국가	행복도	경제적 여유도	사회 지원	건강	자유	관대함
Uganda	4.826	7.599	0.882	52.94	0.733	0.026
Uganda	4.309	7.608	0.885	53.78	0.649	0.075
Uganda	3.71	7.614	0.878	54.62	0.763	0.046
Uganda	3.77	7.634	0.821	55.46	0.834	0.003
Uganda	4.238	7.654	0.747	56.3	0.758	0.128
Uganda	4.233	7.667	0.754	56.775	0.739	0.125
Uganda	4.001	7.663	0.74	57.25	0.772	0.053
Uganda	4.322	7.69	0.74	57.725	0.729	0.072
Uganda	4.948	7.719	0.805	58.2	0.704	0.132
Uganda	4.641	7.714	0.8	58.675	0.687	0.14
Uganda	4.225	7.717	0.793	59.15	0.711	0.081
Uganda	4.425	7.733	0.781	59.625	0.72	0.135
Uganda	4.467	7.759	0.827	60.1	0.848	0.067
Ukraine	4.804	9.414	0.852	60.92	0.624	-0.265
Ukraine	5.252	9.499	0.82	61.24	0.494	-0.249
Ukraine	5.172	9.527	0.86	61.56	0.487	-0.273
Ukraine	5.166	9.367	0.845	61.88	0.46	-0.249
Ukraine	5.058	9.411	0.884	62.2	0.484	-0.197
Ukraine	5.083	9.468	0.859	62.52	0.579	-0.236
Ukraine	5.03	9.472	0.898	62.84	0.564	-0.231
Ukraine	4.711	9.474	0.897	63.16	0.569	-0.225
Ukraine	4.297	9.424	0.877	63.48	0.533	0.078
Ukraine	3.965	9.325	0.909	63.8	0.431	-0.039
Ukraine	4.029	9.353	0.885	63.925	0.503	0.005
Ukraine	4.311	9.381	0.858	64.05	0.599	-0.008
Ukraine	4.662	9.42	0.901	64.175	0.663	-0.08
Ukraine	4.702	9.458	0.883	64.3	0.715	-0.087
Ukraine	5.27	9.426	0.885	64.425	0.784	0.121
Ukraine	5.311	9.469	0.879	64.55	0.77	0.166
Ukraine	4.637	9.281	0.863	64.675	0.829	0.408
Ukraine	4.672	9.423	0.839	64.8	0.772	0.37
United Arab Emirates	6.734	11.433	0.903	64.86	0.898	-0.043
United Arab Emirates	6.866	10.952	0.885	65.04	0.849	0.015
United Arab Emirates	7.097	10.909	0.912	65.1	0.878	0.051
United Arab Emirates	7.119	10.965	0.881	65.16	0.889	0.063
United Arab Emirates	7.218	11.001	0.856	65.22	0.92	
United Arab Emirates	6.621	11.041	0.864	65.28	0.936	
United Arab Emirates	6.54	11.072		65.34		
United Arab Emirates	6.568	11.128	0.824	65.4	0.915	0.192
United Arab Emirates	6.831	11.174	0.849	65.55	0.949	0.12
United Arab Emirates	7.039	11.173	0.836	65.7	0.962	0.206
United Arab Emirates	6.604	11.178	0.851	65.85	0.944	0.043
United Arab Emirates	6.711	11.181	0.862	66	0.911	0.118
United Arab Emirates	6.458	11.122	0.827	66.15	0.942	0.049
United Arab Emirates	6.733	11.152	0.826	66.3	0.951	0.15
United Arab Emirates	6.738	11.216	0.798	66.45	0.932	0.168
United Arab Emirates	6.728	11.236	0.776	66.6	0.886	0.155
United Kingdom	6.984	10.661	0.979	69.1	0.922	
United Kingdom	6.802	10.693	0.97	69.22	0.838	0.331
United Kingdom	6.986	10.684	0.954	69.28	0.759	0.325
United Kingdom	6.907	10.63	0.964	69.34	0.816	0.336
United Kingdom	7.029	10.646	0.955	69.4	0.841	0.397
United Kingdom	6.869	10.649	0.949	69.46	0.9	0.331
United Kingdom	6.881	10.656	0.935	69.52	0.889	0.366
United Kingdom	6.918	10.668	0.937	69.58	0.905	0.341
United Kingdom	6.758	10.692	0.91	69.64	0.857	0.349
United Kingdom	6.515	10.707	0.936	69.7	0.833	0.294
United Kingdom	6.824	10.721	0.954	69.8	0.821	0.244
United Kingdom	7.103	10.739	0.937	69.9	0.813	0.285
United Kingdom	7.233	10.75	0.928	70	0.838	0.22
United Kingdom	7.157	10.76	0.943	70.1	0.854	0.264
United Kingdom	6.798	10.639	0.929	70.2	0.885	0.196
United Kingdom	6.867	10.713	0.854	70.3	0.815	0.252
United Kingdom	6.722	10.754	0.863	70.4	0.857	0.308
United Kingdom	6.658	10.759	0.886	70.5	0.874	0.27
United States	7.182	10.921	0.965	66.78	0.911	
United States	7.513	10.931		66.76	0.872	0.191
United States	7.28	10.923	0.953	66.74	0.878	0.249
United States	7.158	10.888	0.912	66.72	0.831	0.195
United States	7.164	10.906	0.926	66.7	0.828	0.238
United States	7.115	10.914	0.922	66.68	0.863	0.155
United States	7.026	10.929	0.903	66.66	0.823	0.208
United States	7.249	10.941	0.925	66.64	0.792	0.268
United States	7.151	10.956	0.902	66.62	0.866	0.215
United States	6.864	10.975	0.904	66.6	0.849	0.213
United States	6.804	10.985	0.897	66.475	0.758	0.138
United States	6.992	11.001	0.921	66.35	0.868	0.191
United States	6.883	11.024	0.904	66.225	0.825	0.11
United States	6.944	11.042	0.917	66.1	0.836	0.138
United States	7.028	11.005	0.937	65.975	0.85	0.028
United States	6.959	11.061	0.92	65.85	0.816	0.188
United States	6.693	11.078	0.9	65.725	0.736	0.189
United States	6.521	11.089	0.861	65.6	0.721	0.185
Uruguay	5.786	9.64	0.912	66.78	0.807	-0.125
Uruguay	5.694	9.702	0.875	66.86	0.786	-0.178
Uruguay	5.664	9.769	0.879	66.94	0.808	-0.156
Uruguay	6.296	9.808	0.924	67.02	0.825	-0.131
Uruguay	6.062	9.88	0.893	67.1	0.832	-0.171
Uruguay	6.554	9.928	0.891	67.18	0.851	-0.093
Uruguay	6.45	9.96	0.865	67.26	0.871	0.054
Uruguay	6.444	10.002	0.917	67.34	0.888	-0.056
Uruguay	6.561	10.031	0.902	67.42	0.904	-0.086
Uruguay	6.628	10.032	0.891	67.5	0.917	-0.045
Uruguay	6.171	10.045	0.9	67.5	0.886	-0.085
Uruguay	6.336	10.06	0.914	67.5	0.898	-0.104
Uruguay	6.372	10.06	0.917	67.5	0.876	-0.109
Uruguay	6.6	10.067	0.933	67.5	0.903	-0.107
Uruguay	6.31	10.002	0.921	67.5	0.908	-0.094
Uruguay	6.502	10.054	0.914	67.5	0.899	-0.054
Uruguay	6.671	10.103	0.905	67.5	0.878	-0.055
Uruguay	6.662	10.122	0.908	67.5	0.904	-0.05
Uzbekistan	5.232	8.256	0.903	61.34	0.784	-0.125
Uzbekistan	5.311	8.402	0.894	61.82	0.831	-0.033
Uzbekistan	5.261	8.463	0.905	62.06		0.003
Uzbekistan	5.095	8.508	0.903	62.3		-0.04
Uzbekistan	5.739	8.554	0.924	62.54	0.934	0.032
Uzbekistan	6.019	8.608	0.933	62.78	0.914	-0.047
Uzbekistan	5.94	8.662	0.963	63.02	0.95	-0.043
Uzbekistan	6.049	8.712	0.952	63.26	0.954	0.052
Uzbekistan	5.972	8.764	0.968	63.5	0.98	0.366
Uzbekistan	5.893	8.804	0.945	63.8	0.984	0.199
Uzbekistan	6.421	8.831	0.942	64.1	0.985	0.114
Uzbekistan	6.205	8.87	0.921	64.4	0.97	0.308
Uzbekistan	6.154	8.91	0.915	64.7	0.97	0.295
Uzbekistan	5.842	8.91	0.85	65	0.928	0.19
Uzbekistan	6.185	8.962	0.896	65.3	0.927	0.183
Uzbekistan	6.016	8.996	0.879	65.6	0.959	0.306
Uzbekistan	6.385	9.026	0.909	65.9	0.927	0.247
Venezuela	7.17	9.316	0.955	65.5	0.838	
Venezuela	6.525	9.467	0.946	65.46	0.798	-0.037
Venezuela	6.258	9.719	0.922	65.38	0.678	-0.232
Venezuela	7.189	9.567	0.945	65.34	0.677	-0.124
Venezuela	7.478	9.748	0.932	65.3	0.768	-0.163
Venezuela	6.58	9.859	0.931	65.26	0.766	-0.235
Venezuela	7.067	9.862	0.932	65.22	0.804	-0.201
Venezuela	6.553	9.802	0.896	65.18	0.642	-0.23
Venezuela	6.136	9.366	0.904	65.14	0.57	-0.191
Venezuela	5.569	8.532	0.911	65.1	0.512	-0.089
Venezuela	4.041	7.602	0.902	64.925	0.458	-0.06
Venezuela	5.071	5.943	0.896	64.75	0.636	0.05
Venezuela	5.006	5.935	0.887	64.575	0.611	0.068
Venezuela	5.081	5.527	0.888	64.4	0.626	0.124
Venezuela	4.574		0.805	64.225	0.612	
Venezuela	5.108		0.812	64.05	0.596	
Venezuela	5.949		0.899	63.875	0.77	
Venezuela	5.765		0.885	63.7	0.757	
Vietnam	5.294	8.554	0.888	64.18	0.886	-0.006
Vietnam	5.422	8.613	0.856	64.26	0.918	0.068
Vietnam	5.48	8.658	0.805	64.34	0.889	0.18
Vietnam	5.304	8.701	0.815	64.42	0.834	-0.083
Vietnam	5.296	8.752	0.787	64.5	0.831	-0.027
Vietnam	5.767	8.804	0.898	64.58	0.818	0.084
Vietnam	5.535	8.847	0.775	64.66	0.856	-0.131
Vietnam	5.023	8.89	0.759	64.74	0.92	-0.048
Vietnam	5.085	8.941	0.792	64.82		-0.022
Vietnam	5.076	8.999	0.849	64.9		0.064
Vietnam	5.062	9.053	0.876	65	0.894	-0.112
Vietnam	5.175	9.111		65.1		
Vietnam	5.296	9.173	0.832	65.2	0.909	-0.063
Vietnam	5.467	9.235	0.848	65.3	0.952	-0.148
Vietnam	5.462	9.254	0.765	65.4	0.945	0.063
Vietnam	5.54	9.271	0.799	65.5	0.897	0.104
Vietnam	6.267	9.341	0.879	65.6	0.975	-0.182
Vietnam	6.325	9.392	0.845	65.7	0.956	-0.159
Yemen	4.477	8.212	0.825	58.72	0.673	0.006
Yemen	4.809	8.25	0.756	58.64	0.644	-0.056
Yemen	4.35	8.414	0.727	58.6	0.659	-0.107
Yemen	3.746	8.264	0.663	58.56	0.638	-0.174
Yemen	4.061	8.179	0.682	58.52	0.706	-0.172
Yemen	4.218	8.166	0.694	58.48	0.543	-0.179
Yemen	3.968	8.159	0.638	58.44	0.664	-0.166
Yemen	2.983	7.772	0.669	58.4	0.61	-0.138
Yemen	3.826	7.552	0.775	58.175	0.533	-0.144
Yemen	3.254	7.243	0.79	57.95	0.595	-0.128
Yemen	3.058	7.444	0.789	57.725	0.553	-0.127
Yemen	4.197	7.448	0.87	57.5	0.651	-0.106
Yemen	3.59		0.872	56.825	0.607	
Yemen	3.532		0.825	56.6	0.583	
Zambia	4.824	7.834	0.798	46.76	0.721	-0.012
Zambia	3.998	7.879	0.688	47.42	0.682	-0.073
Zambia	4.73	7.918	0.624	48.08	0.717	0.051
Zambia	5.26	7.971	0.782	48.74	0.696	-0.101
Zambia	4.999	8.054	0.864	50.06	0.663	-0.001
Zambia	5.013	8.094	0.78	50.72	0.788	0.004
Zambia	5.244	8.111	0.761	51.38	0.77	-0.108
Zambia	4.346	8.124	0.706	52.04	0.812	-0.014
Zambia	4.843	8.121	0.691	52.7	0.759	-0.042
Zambia	4.348	8.127	0.767	53.125	0.812	0.119
Zambia	3.933	8.13	0.744	53.55	0.823	0.137
Zambia	4.041	8.139	0.718	53.975	0.791	0.045
Zambia	3.307	8.123	0.638	54.4	0.811	0.074
Zambia	4.838	8.066	0.767	54.825	0.75	0.054
Zambia	3.082	8.082	0.619	55.25	0.833	0.138
Zambia	3.728	8.101	0.717	55.675	0.889	-0.009
Zambia	3.686	8.115	0.664	56.1	0.854	0.092
Zimbabwe	3.826	7.46	0.822	40.4	0.431	-0.063
Zimbabwe	3.28	7.413	0.828	41.6	0.456	-0.069
Zimbabwe	3.174	7.21	0.843	42.8	0.344	-0.077
Zimbabwe	4.056	7.313	0.806	44	0.411	-0.065
Zimbabwe	4.682	7.495	0.857	45.2	0.665	-0.081
Zimbabwe	4.846	7.617	0.865	46.4	0.633	-0.077
Zimbabwe	4.955	7.745	0.896	47.6	0.47	-0.091
Zimbabwe	4.69	7.755	0.799	48.8	0.576	-0.093
Zimbabwe	4.184	7.748	0.766	50	0.642	-0.062
Zimbabwe	3.703	7.747	0.736	51.2	0.667	-0.111
Zimbabwe	3.735	7.735	0.768	51.675	0.733	-0.082
Zimbabwe	3.638	7.754	0.754	52.15	0.753	-0.084
Zimbabwe	3.616	7.783	0.775	52.625	0.763	-0.055
Zimbabwe	2.694	7.698	0.759	53.1	0.632	-0.051
Zimbabwe	3.16	7.596	0.717	53.575	0.643	0.003
Zimbabwe	3.155	7.657	0.685	54.05	0.668	-0.079
Zimbabwe	3.296	7.67	0.666	54.525	0.652	-0.073
Zimbabwe	3.572	7.679	0.694	55	0.735	-0.069
